Date,Close/Last,Volume,Open,High,Low
02/18/2025,$716.37,21938700,$736.00,$737.00,$706.44
02/14/2025,$736.67,16901250,$726.14,$740.91,$725.62
02/13/2025,$728.56,12569060,$721.52,$729.00,$718.04
02/12/2025,$725.38,12016520,$715.30,$727.10,$712.60
02/11/2025,$719.80,12997960,$713.32,$723.66,$710.04
02/10/2025,$717.40,12904320,$718.56,$721.20,$711.33
02/07/2025,$714.52,16427070,$716.795,$725.01,$711.75
02/06/2025,$711.99,13080690,$705.88,$718.90,$703.50
02/05/2025,$704.87,17793770,$703.55,$718.14,$699.01
02/04/2025,$704.19,13826270,$702.50,$707.71,$691.61
02/03/2025,$697.46,21415740,$675.91,$704.00,$675.25
01/31/2025,$689.18,19331660,$691.00,$705.2999,$685.58
01/30/2025,$687.00,29322900,$696.82,$710.79,$676.10
01/29/2025,$676.49,21377820,$675.00,$681.0459,$665.67
01/28/2025,$674.33,20950110,$666.00,$682.58,$659.465
01/27/2025,$659.88,28399190,$626.61,$663.87,$625.10
01/24/2025,$647.49,19065330,$636.40,$652.00,$634.20
01/23/2025,$636.45,9910163,$627.36,$636.60,$621.15
01/22/2025,$623.50,12274010,$623.30,$633.70,$619.435
01/21/2025,$616.46,11674020,$617.825,$621.50,$609.0082
01/17/2025,$612.77,17280600,$624.05,$624.97,$603.67
01/16/2025,$611.30,8355349,$611.50,$616.25,$609.71
01/15/2025,$617.12,15524300,$610.21,$622.46,$606.50
01/14/2025,$594.25,13597990,$605.065,$605.49,$588.55
01/13/2025,$608.33,10785030,$607.10,$608.97,$598.445
01/10/2025,$615.86,19256560,$610.03,$629.91,$597.34
01/08/2025,$610.72,10085850,$613.395,$616.4397,$602.79
01/07/2025,$617.89,12071480,$631.70,$632.1011,$608.23
01/06/2025,$630.20,14560750,$611.825,$630.99,$605.62
01/03/2025,$604.63,11436780,$604.76,$609.50,$596.4136
01/02/2025,$599.24,12682270,$589.72,$604.91,$587.82
12/31/2024,$585.51,6019520,$592.265,$593.97,$583.85
12/30/2024,$591.24,7025864,$588.75,$596.9399,$585.58
12/27/2024,$599.81,8084229,$599.41,$601.85,$589.80
12/26/2024,$603.35,6091239,$605.48,$606.30,$598.94
12/24/2024,$607.75,4726056,$602.715,$607.99,$599.2849
12/23/2024,$599.85,10205750,$589.60,$601.09,$586.25
12/20/2024,$585.25,48989390,$590.58,$603.11,$580.00
12/19/2024,$595.57,14958080,$610.39,$611.52,$595.00
12/18/2024,$597.19,17075480,$621.00,$627.36,$596.32
12/17/2024,$619.44,12897840,$626.17,$632.37,$616.54
12/16/2024,$624.24,10885630,$629.975,$631.15,$618.58
12/13/2024,$620.35,8453349,$627.22,$631.08,$616.886
12/12/2024,$630.79,7474717,$631.50,$636.6599,$627.2094
12/11/2024,$632.68,10837230,$623.37,$638.40,$621.5349
12/10/2024,$619.32,10938850,$617.56,$625.59,$612.74
12/09/2024,$613.57,11426020,$623.925,$626.40,$606.1701
12/06/2024,$623.77,16935500,$610.10,$629.7899,$608.53
12/05/2024,$608.93,8081212,$617.075,$619.90,$607.05
12/04/2024,$613.78,14697010,$612.96,$617.78,$605.10
12/03/2024,$613.65,14907160,$595.00,$614.20,$591.2501
12/02/2024,$592.83,12522370,$577.50,$594.50,$575.57
11/29/2024,$574.32,7130519,$569.00,$578.46,$566.90
11/27/2024,$569.20,7200228,$574.89,$574.98,$564.1001
11/26/2024,$573.54,10356550,$566.00,$577.50,$565.20
11/25/2024,$565.11,13599830,$562.10,$572.5915,$556.39
11/22/2024,$559.14,9164004,$563.55,$563.8273,$554.59
11/21/2024,$563.09,11154750,$569.52,$570.00,$549.05
11/20/2024,$565.52,9797339,$562.93,$566.3499,$554.2001
11/19/2024,$561.09,9522445,$551.86,$561.43,$550.60
11/18/2024,$554.40,14346720,$557.04,$559.90,$550.09
11/15/2024,$554.08,17712860,$571.22,$572.57,$551.50
11/14/2024,$577.16,11053740,$577.00,$580.76,$573.01
11/13/2024,$580.00,10757580,$582.605,$585.64,$575.17
11/12/2024,$584.82,16287720,$588.545,$599.66,$580.38
11/11/2024,$583.17,10209050,$586.36,$587.00,$576.51
11/08/2024,$589.34,9415699,$591.54,$593.10,$584.52
11/07/2024,$591.70,14653710,$576.89,$594.7999,$575.21
11/06/2024,$572.05,18305430,$562.75,$573.00,$555.1679
11/05/2024,$572.43,9775379,$567.305,$573.48,$566.67
11/04/2024,$560.68,12064600,$564.10,$568.69,$557.89
11/01/2024,$567.16,15303240,$567.605,$573.67,$562.56
10/31/2024,$567.58,26838400,$585.00,$589.90,$563.01
10/30/2024,$591.80,26864930,$600.98,$601.20,$589.38
10/29/2024,$593.28,13019090,$580.145,$593.67,$575.398
10/28/2024,$578.16,10925130,$582.00,$583.7499,$574.12
10/25/2024,$573.25,11337870,$573.935,$581.29,$571.72
10/24/2024,$567.78,7184651,$567.125,$568.8799,$561.52
10/23/2024,$563.69,14248420,$579.97,$585.00,$562.50
10/22/2024,$582.01,8544463,$574.29,$583.53,$572.12
10/21/2024,$575.16,8171879,$576.03,$577.2399,$569.11
10/18/2024,$576.47,7694274,$581.10,$583.9675,$575.25
10/17/2024,$576.93,8701158,$583.33,$584.97,$575.20
10/16/2024,$576.79,11268380,$581.395,$582.08,$574.03
10/15/2024,$586.27,9564236,$590.16,$590.61,$580.143
10/14/2024,$590.42,8251971,$594.22,$600.10,$589.96
10/11/2024,$589.95,8587051,$584.83,$591.21,$582.71
10/10/2024,$583.83,7740449,$587.57,$590.23,$582.52
10/09/2024,$590.51,9529707,$593.99,$594.39,$581.61
10/08/2024,$592.89,7857377,$589.69,$593.56,$585.97
10/07/2024,$584.78,12014200,$598.22,$602.95,$584.04
10/04/2024,$595.94,14199790,$583.73,$596.85,$581.43
10/03/2024,$582.77,11580980,$570.15,$583.36,$568.73
10/02/2024,$572.81,6524650,$574.86,$576.00,$569.34
10/01/2024,$576.47,15259270,$577.98,$583.04,$570.10
09/30/2024,$572.44,12807210,$567.70,$574.68,$564.80
09/27/2024,$567.36,9398367,$570.10,$570.8399,$564.51
09/26/2024,$567.84,14400790,$575.73,$577.40,$562.3501
09/25/2024,$568.31,16543350,$564.05,$576.88,$563.72
09/24/2024,$563.33,12992960,$566.68,$567.745,$554.19
09/23/2024,$564.41,12830670,$569.50,$573.9799,$562.41
09/20/2024,$561.35,22066820,$560.00,$564.50,$556.3001
09/19/2024,$559.10,15646950,$550.00,$562.07,$546.52
09/18/2024,$537.95,10323540,$537.065,$544.20,$533.9026
09/17/2024,$536.315,11690780,$537.60,$542.10,$530.57
09/16/2024,$533.28,9527646,$524.54,$534.10,$517.40
09/13/2024,$524.62,10321420,$520.34,$527.581,$517.11
09/12/2024,$525.60,11993340,$517.05,$526.71,$515.22
09/11/2024,$511.83,10782530,$507.01,$513.12,$495.60
09/10/2024,$504.79,9899022,$508.16,$514.18,$500.0278
09/09/2024,$504.79,11047830,$506.16,$511.33,$502.08
09/06/2024,$500.27,14744520,$521.88,$524.5849,$498.25
09/05/2024,$516.86,8640888,$511.72,$521.6295,$511.15
09/04/2024,$512.74,8335207,$506.07,$516.59,$504.07
09/03/2024,$511.76,12459110,$519.64,$525.49,$508.6176
08/30/2024,$521.31,9157541,$521.35,$523.54,$515.20
08/29/2024,$518.22,8317424,$519.05,$527.20,$515.6789
08/28/2024,$516.78,9106077,$517.675,$521.085,$512.45
08/27/2024,$519.10,6282720,$518.98,$524.01,$515.31
08/26/2024,$521.12,9584002,$527.60,$528.00,$514.95
08/23/2024,$528.00,11323940,$536.92,$539.87,$525.06
08/22/2024,$531.93,15708290,$537.00,$544.23,$528.59
08/21/2024,$535.16,13423290,$527.15,$539.40,$526.935
08/20/2024,$526.73,7944391,$528.35,$531.09,$525.88
08/19/2024,$529.28,9879713,$526.87,$531.66,$522.76
08/16/2024,$527.42,14776680,$531.90,$533.66,$524.66
08/15/2024,$537.33,13482140,$531.79,$539.77,$526.70
08/14/2024,$526.76,11444190,$528.06,$534.00,$523.13
08/13/2024,$528.54,13743840,$520.01,$531.4999,$518.15
08/12/2024,$515.95,9767422,$516.86,$518.02,$509.10
08/09/2024,$517.77,13696640,$507.71,$518.34,$505.70
08/08/2024,$509.63,16156840,$497.50,$509.96,$494.72
08/07/2024,$488.92,20105310,$503.13,$510.15,$486.86
08/06/2024,$494.09,20954960,$479.00,$502.56,$478.65
08/05/2024,$475.73,21396190,$451.345,$483.48,$450.80
08/02/2024,$488.14,24044660,$489.00,$501.145,$476.15
08/01/2024,$497.74,43083080,$521.00,$527.1709,$492.10
07/31/2024,$474.83,24285780,$471.02,$476.50,$466.75
07/30/2024,$463.19,11390440,$467.00,$472.73,$456.70
07/29/2024,$465.71,11339630,$469.88,$473.96,$465.02
07/26/2024,$465.70,14222390,$464.195,$469.77,$459.42
07/25/2024,$453.41,18240490,$463.26,$463.548,$442.65
07/24/2024,$461.27,17649740,$472.305,$476.30,$460.58
07/23/2024,$488.69,9455527,$489.84,$495.22,$487.72
07/22/2024,$487.40,12023090,$486.575,$492.06,$483.90
07/19/2024,$476.79,15149420,$476.06,$486.71,$475.71
07/18/2024,$475.85,19267160,$475.00,$479.2393,$464.54
07/17/2024,$461.99,28076600,$479.17,$479.17,$459.12
07/16/2024,$489.79,14075830,$501.50,$503.9499,$485.79
07/15/2024,$496.16,12539160,$498.63,$506.6799,$493.37
07/12/2024,$498.87,19750540,$497.755,$508.09,$494.23
07/11/2024,$512.70,16458250,$530.89,$535.46,$508.3733
07/10/2024,$534.69,10983280,$530.79,$538.88,$528.36
07/09/2024,$530.00,8769088,$533.75,$537.48,$528.1901
07/08/2024,$529.32,14917500,$542.35,$542.81,$526.65
07/05/2024,$539.91,21354090,$511.60,$540.87,$511.60
07/03/2024,$509.96,6005615,$506.37,$511.28,$506.02
07/02/2024,$509.50,7739479,$500.76,$510.50,$499.45
07/01/2024,$504.68,10328150,$504.95,$506.58,$493.17
06/28/2024,$504.22,15855140,$517.15,$521.88,$503.84
06/27/2024,$519.56,10121200,$514.25,$522.8799,$513.90
06/26/2024,$513.12,8882337,$506.645,$513.81,$504.6765
06/25/2024,$510.60,12109770,$497.05,$510.71,$495.50
06/24/2024,$498.91,13525280,$499.20,$507.80,$494.29
06/21/2024,$494.78,23130730,$503.45,$503.45,$492.39
06/20/2024,$501.70,11801180,$502.00,$503.67,$496.77
06/18/2024,$499.49,13060430,$504.56,$506.00,$495.02
06/17/2024,$506.63,11266600,$501.67,$510.75,$496.01
06/14/2024,$504.16,10243350,$502.65,$507.15,$500.75
06/13/2024,$504.10,9954621,$505.71,$509.36,$501.36
06/12/2024,$508.84,11983230,$513.99,$514.01,$504.47
06/11/2024,$507.47,9673715,$500.16,$507.60,$498.27
06/10/2024,$502.60,11236920,$493.86,$502.66,$493.41
06/07/2024,$492.96,9380745,$495.91,$498.91,$490.1701
06/06/2024,$493.76,10667340,$492.98,$502.82,$490.89
06/05/2024,$495.06,15690480,$484.45,$496.65,$483.91
06/04/2024,$476.99,7088718,$477.00,$478.89,$473.2322
06/03/2024,$477.49,11279390,$470.86,$479.60,$468.24
05/31/2024,$466.83,16919810,$465.80,$469.12,$454.4601
05/30/2024,$467.05,10735230,$471.67,$471.73,$464.71
05/29/2024,$474.36,9226218,$474.66,$479.85,$473.70
05/28/2024,$479.92,10175770,$476.575,$480.86,$474.84
05/24/2024,$478.22,12024250,$467.62,$479.8499,$466.30
05/23/2024,$465.78,11747910,$472.88,$474.3581,$461.54
05/22/2024,$467.78,10078610,$467.87,$473.7199,$465.65
05/21/2024,$464.63,11742190,$467.12,$470.70,$462.27
05/20/2024,$468.84,11745080,$469.95,$473.20,$467.04
05/17/2024,$471.91,10807290,$470.83,$472.80,$468.42
05/16/2024,$473.23,16608180,$475.00,$477.69,$472.75
05/15/2024,$481.54,13100470,$474.98,$482.4999,$471.20
05/14/2024,$471.85,10478550,$463.37,$472.54,$460.08
05/13/2024,$468.01,14668800,$472.75,$473.35,$462.85
05/10/2024,$476.20,10750000,$477.09,$477.50,$469.60
05/09/2024,$475.42,9437651,$470.00,$476.08,$467.63
05/08/2024,$472.60,11683930,$463.50,$475.58,$463.002
05/07/2024,$468.24,13406820,$466.29,$471.53,$461.31
05/06/2024,$465.68,15094630,$455.58,$466.16,$453.34
05/03/2024,$451.96,16489060,$445.93,$454.17,$443.85
05/02/2024,$441.68,15221320,$438.84,$443.96,$432.28
05/01/2024,$439.19,20344950,$428.60,$449.96,$427.11
04/30/2024,$430.17,18429500,$431.05,$439.6199,$429.72
04/29/2024,$432.62,21502650,$439.56,$439.76,$428.56
04/26/2024,$443.29,32691440,$441.46,$446.44,$431.96
04/25/2024,$441.38,82890740,$421.40,$445.77,$414.50
04/24/2024,$493.50,37772680,$508.06,$510.00,$484.58
04/23/2024,$496.10,15079200,$491.25,$498.76,$488.97
04/22/2024,$481.73,17271130,$489.715,$492.01,$473.40
04/19/2024,$481.07,25215360,$502.80,$502.80,$475.73
04/18/2024,$501.80,14808670,$499.82,$512.21,$499.04
04/17/2024,$494.17,12193740,$503.10,$503.16,$487.14
04/16/2024,$499.76,9847925,$498.11,$504.7699,$497.11
04/15/2024,$500.23,13512890,$516.72,$518.53,$497.28
04/12/2024,$511.90,11984540,$517.75,$520.1899,$509.33
04/11/2024,$523.16,10369470,$521.11,$523.86,$517.29
04/10/2024,$519.83,11418490,$509.29,$522.5599,$505.80
04/09/2024,$516.90,10881450,$522.23,$525.87,$506.74
04/08/2024,$519.25,13260580,$529.28,$531.4899,$518.89
04/05/2024,$527.34,19263270,$516.855,$530.70,$514.4099
04/04/2024,$510.92,26476250,$516.42,$530.00,$510.58
04/03/2024,$506.74,12099170,$498.93,$507.24,$498.75
